AFFGEOID,County Name,Total Pop,Total Pop Under 18,Pct_Below_Poverty,Pct_Below_Poverty_U18,Pct_Below_Poverty_65Over,Pct_Below_Poverty_Male,Pct_Below_Poverty_Female
0500000US24021,"Frederick County, Maryland",283061,65687,5.1,4.8,8.1,4.6,5.6
0500000US24025,"Harford County, Maryland",262485,58127,7.5,6.8,12.4,6.2,8.7
0500000US24027,"Howard County, Maryland",332598,77945,5.3,6.3,5.7,4.4,6.2
0500000US24031,"Montgomery County, Maryland",1044068,234357,7.9,10.1,6.4,7.3,8.5
0500000US24033,"Prince George's County, Maryland",925327,202249,10.9,14.4,9.5,10.1,11.6
0500000US24037,"St. Mary's County, Maryland",112200,26489,8.1,5.8,13.1,8.3,8
0500000US24043,"Washington County, Maryland",148261,32270,11.6,14.1,8.6,9.8,13.3
0500000US24045,"Wicomico County, Maryland",101564,23465,10.6,9.5,11.4,9.8,11.3
0500000US24510,"Baltimore city, Maryland",552123,114070,18.5,22,22.5,18.4,18.7
0500000US25001,"Barnstable County, Massachusetts",229118,31139,6.9,6.1,6.1,6,7.8
0500000US25003,"Berkshire County, Massachusetts",122768,19097,11.9,15.5,8.6,10.6,13.1
0500000US25005,"Bristol County, Massachusetts",567218,115088,11.5,15.5,13.5,10.3,12.6
0500000US25009,"Essex County, Massachusetts",790349,163186,9.8,11.5,12.7,9.4,10.1
0500000US25011,"Franklin County, Massachusetts",69809,11279,15.3,20.1,10.3,13.6,16.9
0500000US25013,"Hampden County, Massachusetts",449419,94462,17.1,23.3,13.8,15.3,18.8
0500000US25015,"Hampshire County, Massachusetts",140559,21171,11.7,7.4,9.2,11.5,11.9
0500000US25017,"Middlesex County, Massachusetts",1563563,307788,8.2,7.9,10.2,7.5,8.8
0500000US25021,"Norfolk County, Massachusetts",709846,145382,6.5,5,8.4,6,6.9
0500000US25023,"Plymouth County, Massachusetts",523987,107509,7.5,7.6,9.2,6,9
0500000US25025,"Suffolk County, Massachusetts",724123,121177,16.4,19.5,20.7,15.2,17.5
0500000US25027,"Worcester County, Massachusetts",837973,172751,10.6,11.7,9.6,10.4,10.9
0500000US26005,"Allegan County, Michigan",120317,27692,9.9,15.7,4.9,9.7,10.2
0500000US26017,"Bay County, Michigan",101884,19539,15.4,20.6,12.9,16.2,14.5
0500000US26021,"Berrien County, Michigan",150364,32014,14.9,21.6,11.4,12.2,17.6
0500000US26025,"Calhoun County, Michigan",130254,29756,13.2,18.7,11.3,12.5,13.8
0500000US26037,"Clinton County, Michigan",78989,16843,11.5,10.9,10.7,8.3,14.6
0500000US26045,"Eaton County, Michigan",107035,21611,8.9,13.6,9.1,8.2,9.6
0500000US26049,"Genesee County, Michigan",396818,86429,16.4,24.1,9.8,14.9,17.7
0500000US26055,"Grand Traverse County, Michigan",94798,17653,11.5,15.8,7,10.9,12
0500000US26065,"Ingham County, Michigan",264575,52648,16.5,20.1,8.6,15,17.9
0500000US26067,"Ionia County, Michigan",63711,13695,11.5,10.5,9.4,8.3,14.9
0500000US26075,"Jackson County, Michigan",151650,32902,12.8,17.7,8.1,12,13.5
0500000US26077,"Kalamazoo County, Michigan",254182,54174,11.8,11,9.1,10.7,12.8
0500000US26081,"Kent County, Michigan",649069,151631,10.6,13.8,9,8.6,12.6
0500000US26087,"Lapeer County, Michigan",87363,17659,10.6,17,8.2,11.2,10.1
0500000US26091,"Lenawee County, Michigan",93914,19347,12.1,18.8,8.5,11,13.1
0500000US26093,"Livingston County, Michigan",194785,38811,4.6,4.9,5.4,3.9,5.4
0500000US26099,"Macomb County, Michigan",866644,177118,9.7,13.4,8.5,9.2,10.2
0500000US26103,"Marquette County, Michigan",62397,11519,11.3,4.8,7.5,8.2,14.4
0500000US26111,"Midland County, Michigan",82604,16774,7.7,5.9,7.3,6.4,9
0500000US26115,"Monroe County, Michigan",153956,31993,9.4,10.2,5.8,8.3,10.4
0500000US26117,"Montcalm County, Michigan",65333,13888,14.2,20.4,10.1,13.5,14.9
0500000US26121,"Muskegon County, Michigan",170507,38150,14.3,21.8,9.7,14,14.7
0500000US26125,"Oakland County, Michigan",1258178,252722,8.1,9.4,9.3,6.7,9.5
0500000US26139,"Ottawa County, Michigan",290383,68249,8.6,6.5,6.8,7.2,9.9
0500000US26145,"Saginaw County, Michigan",182950,39284,18.4,25.6,13.1,16.1,20.6
0500000US26147,"St. Clair County, Michigan",158233,31095,13.7,19.8,9.6,14.5,13
0500000US26155,"Shiawassee County, Michigan",67240,13790,12.7,16,6.8,11.6,13.9
0500000US26159,"Van Buren County, Michigan",75191,16823,14.9,19.6,11.2,11.5,18.3
0500000US26161,"Washtenaw County, Michigan",348380,65151,13.9,10,7.5,13.5,14.3
0500000US26163,"Wayne County, Michigan",1737658,405496,21.2,32.3,13.7,19.3,23
0500000US27003,"Anoka County, Minnesota",364646,84571,7.6,8.4,9.8,7.1,8.1
0500000US27013,"Blue Earth County, Minnesota",66000,13414,17.7,17.6,6.3,16.6,18.8
0500000US27019,"Carver County, Minnesota",108916,26371,4.8,5.2,7,3.8,5.9
0500000US27027,"Clay County, Minnesota",63343,15647,10.9,8.9,10,9.7,12.1
0500000US27035,"Crow Wing County, Minnesota",67011,13946,11.3,12.3,9.9,10.7,11.9
0500000US27037,"Dakota County, Minnesota",440766,104414,6,6.9,6.1,5.4,6.5
0500000US27053,"Hennepin County, Minnesota",1236860,264879,10.7,12.4,8.3,10.1,11.2
0500000US27109,"Olmsted County, Minnesota",161496,38290,9.6,9.9,9.1,8.1,11.2
0500000US27123,"Ramsey County, Minnesota",520835,119596,13.8,19.8,9.8,12.7,14.9
0500000US27131,"Rice County, Minnesota",60797,14185,12.2,15.2,10.2,11,13.5
0500000US27137,"St. Louis County, Minnesota",194305,35945,14.7,13.2,10.8,13.8,15.6
0500000US27139,"Scott County, Minnesota",152961,39125,4.1,3.8,4.7,3,5.2
0500000US27141,"Sherburne County, Minnesota",99202,26041,6.2,7.5,9.6,5.7,6.9
0500000US27145,"Stearns County, Minnesota",154046,36756,11.3,10.4,8.8,9.7,12.9
0500000US27163,"Washington County, Minnesota",272154,64603,6.3,7,7.8,5.2,7.2
0500000US27171,"Wright County, Minnesota",147113,39540,5.1,4.6,10.6,3.7,6.6
0500000US28033,"DeSoto County, Mississippi",190690,47259,10.2,13,8.4,8.6,11.7
0500000US28035,"Forrest County, Mississippi",73132,17146,22,28.9,15.7,18,25.3
0500000US28047,"Harrison County, Mississippi",205961,48157,19.5,24.8,16.1,17.8,21
0500000US28049,"Hinds County, Mississippi",208866,49118,21.9,29.4,15,21.2,22.4
0500000US28059,"Jackson County, Mississippi",143727,32608,15.7,21.4,14.5,13.9,17.4
0500000US28067,"Jones County, Mississippi",65053,16180,15.2,18.8,13.2,16.3,14.2
0500000US28073,"Lamar County, Mississippi",65136,15928,18.2,25.7,9.8,17,19.3
0500000US28075,"Lauderdale County, Mississippi",67718,15952,24.7,41.2,21.7,23.1,26
