UID,ENG COMP Placement,Course Preference,Post-AWPE Survey,H/L/A,Unweighted GPA
406251274,2,4,30,L,3.95
406130673,2,1,31,L,3.25
106129992,2,1,32,L,3.7
406234449,2,1,32,L,3.86
506280469,2,1,32,L,4
306259077,2,1,32,L,4
106173819,2,1,32,L,3.92
6167098,2,1,32,L,3.2
406187725,2,1,32,L,4
606156558,2,1,33,L,3.95
406146730,2,1,33,L,3.5
406099333,2,1,34,L,3.9
406213319,2,1,34,L,3.86
706145244,2,1,34,L,3.86
106137483,2,1,34,L,4
306134558,2,4,34,L,3.7
306157470,2,1,35,L,NA
106133593,2,1,35,L,3.84
706291264,2,1,35,L,3.9
806208033,2,1,35,L,3.62
606145225,2,1,35,L,4
506145264,2,1,35,L,3.95
806187993,2,4,35,L,3.8
506149610,2,4,35,L,3.95
306200591,2,1,36,L,3.92
706153743,2,1,36,L,3.92
706151522,2,1,36,L,4
506244363,2,1,36,L,3.82
406217591,2,1,36,L,3.9
606202895,2,1,36,L,3.96
706205983,2,1,36,L,3.77
906216315,2,1,37,L,4
606142482,2,1,37,L,3.84
706248459,2,1,37,L,4
706246177,2,1,37,L,3.86
6130868,2,1,37,L,3.9
405981216,2,1,38,L,3.6
506138975,2,1,38,L,4
306291237,2,1,38,L,3.9
405875999,2,1,38,L,3.96
706151169,2,1,39,L,4
806144791,2,1,39,L,3.77
606226655,2,1,39,L,4
406307916,2,1,39,L,3.3
906129177,2,1,40,L,3.27
806279964,2,1,41,L,4
106134696,2,1,42,L,3.96
706157109,2,1,44,L,3.88
506146819,2,1,44,L,3.44
106219761,2,NA,29,NA,4
605913504,2,NA,31,NA,3.66
306248197,2,NA,35,NA,3.96
406138693,2,NA,35,NA,3.95
6262528,2,NA,36,NA,3.82
906171128,2,NA,37,NA,3.9
6167461,2,NA,38,NA,4
806205402,2,NA,39,NA,3.93
906251375,2,NA,40,NA,3.17
606255488,2,NA,48,NA,4
705778478,2,NA,NA,NA,4
106161208,2,NA,NA,NA,4
NA,2,NA,NA,NA,NA
406141600,3,3,28,A,3.78
506123361,3,3,28,A,3.9
906129040,3,3,30,A,3.42
206240309,3,3,31,A,4
606244621,3,3,31,A,4
906204911,3,3,32,A,3.77
206259346,3,3,32,A,3.67
6204656,3,3,32,A,0
806252144,3,3,32,A,3.96
506147630,3,3,32,A,3.74
506149554,3,3,32,A,4
506174044,3,3,33,A,3.67
206151628,3,3,33,A,3.94
806191669,3,3,33,A,4
406154310,3,3,33,A,3.79
606263488,3,3,33,A,0
406277716,3,3,33,A,3.92
606257538,3,3,35,A,4
506111848,3,3,35,A,4
306272205,3,3,35,A,3.96
506156422,3,3,35,A,4
906237271,3,3,35,A,4
106153958,3,3,35,A,3.82
6173320,3,3,35,A,4
506218571,3,3,35,A,3.85
106187798,3,3,35,A,4
106155151,3,3,35,A,3.79
306137665,3,3,35,A,4
706197983,3,3,35,A,4
506263436,3,3,36,A,4
106270882,3,3,36,A,NA
906174650,3,3,36,A,3.74
6141664,3,3,36,A,4
406237056,3,3,36,A,4
506196376,3,3,36,A,3.86
306172994,3,3,36,A,4
806217424,3,3,36,A,3.96
106293930,3,3,36,A,4
105968508,3,3,36,A,3.55
406128420,3,3,36,A,3.36
6213825,3,3,36,A,3.9
606172110,3,3,36,A,4
206170759,3,3,36,A,3.88
106047406,3,3,36,A,0
606026864,3,3,36,A,4
6278317,3,3,36,A,4
306206197,3,3,36,A,4
806141132,3,3,37,A,4
105979371,3,3,37,A,4
106219407,3,3,37,A,3.83
306208766,3,3,37,A,3.87
906189543,3,3,37,A,4
806257354,3,3,37,A,4
206146585,3,3,37,A,3.96
806123699,3,3,37,A,4
806226353,3,3,37,A,0
506198808,3,3,37,A,3.95
106143417,3,3,37,A,3.96
906272698,3,3,37,A,3.64
305070265,3,3,37,A,4
6239646,3,3,37,A,4
406202599,3,3,37,A,4
6278708,3,3,37,A,3.96
606187258,3,3,37,A,3.88
706265745,3,3,37,A,4
806293842,3,3,37,A,3.72
106257550,3,3,38,A,4
106151662,3,3,38,A,0
806244540,3,3,38,A,3.73
306148452,3,3,38,A,3.42
206211081,3,3,38,A,3.95
606264478,3,3,38,A,3.95
806223439,3,3,38,A,4
206245359,3,3,38,A,0
306206866,3,3,38,A,3.8
806243946,3,3,38,A,3.91
906218606,3,3,38,A,3.9
306157903,3,3,38,A,4
206154047,3,3,38,A,4
406165813,3,3,38,A,3.79
906175145,3,3,38,A,4
606146550,3,3,38,A,4
406218840,3,3,38,A,4
606248997,3,3,38,A,4
6207297,3,3,38,A,0
706245229,3,3,38,A,3.89
406155499,3,3,38,A,3.9
206117564,3,3,38,A,0
806221280,3,3,38,A,4
505868286,3,3,38,A,3.8
806051541,3,3,38,A,3.47
106291653,3,3,39,A,4
106262518,3,3,39,A,3.84
306216422,3,3,39,A,3.92
106207471,3,3,39,A,3.96
106131725,3,3,39,A,3.91
106127530,3,3,39,A,3.74
706149789,3,3,39,A,4
306221372,3,3,39,A,3.81
206127186,3,3,39,A,4
706157821,3,3,39,A,4
506144636,3,3,39,A,4
806141759,3,3,39,A,4
506189272,3,3,39,A,0
606142463,3,3,39,A,4
506244018,3,3,39,A,4
206122075,3,3,39,A,3.92
106237618,3,3,39,A,0
406236491,3,3,39,A,4
306155904,3,3,39,A,3.68
206245043,3,3,40,A,4
306254145,3,3,40,A,3.96
606225910,3,3,40,A,3.95
706157618,3,3,40,A,4
6135130,3,3,40,A,4
806118400,3,3,40,A,3.72
106196057,3,3,40,A,3.97
606250264,3,3,40,A,4
206264748,3,3,40,A,3.92
905864644,3,3,40,A,3.91
806138549,3,3,40,A,4
406129189,3,3,40,A,3.81
106173107,3,3,40,A,3.92
506187739,3,3,40,A,4
106256051,3,3,40,A,3.69
906139218,3,3,40,A,3.92
606147861,3,3,40,A,4
306132408,3,3,40,A,3.75
6269520,3,3,40,A,0
906121355,3,3,40,A,3.84
306218609,3,3,40,A,3.95
6214373,3,3,40,A,4
906117339,3,3,40,A,3.95
506241982,3,3,40,A,3.9
706096757,3,3,40,A,3.76
206241728,3,3,41,A,0
106200021,3,3,41,A,4
6059433,3,3,41,A,3.87
6234489,3,3,41,A,4
406210981,3,3,41,A,3.97
206258064,3,3,41,A,4
306259572,3,3,41,A,4
605591136,3,3,41,A,4
6241668,3,3,41,A,4
605933205,3,3,41,A,3.33
506172912,3,3,41,A,3.71
806131661,3,3,41,A,4
806166523,3,3,41,A,4
406139310,3,3,41,A,3.72
6255410,3,3,41,A,3.96
906210441,3,3,41,A,3.93
106275714,3,3,41,A,4
506098535,3,3,41,A,3.96
306167582,3,3,41,A,0
606277353,3,3,41,A,3.91
806203629,3,3,41,A,0
606254870,3,3,41,A,3.97
206239527,3,3,41,A,0
706154870,3,3,41,A,3.29
306143157,3,3,41,A,3.16
305772534,3,3,41,A,3.47
506240751,3,3,41,A,3.44
6160308,3,3,41,A,3.96
906202785,3,3,42,A,4
206160487,3,3,42,A,3.8
806127640,3,3,42,A,3.92
306192845,3,3,42,A,4
806228130,3,3,42,A,3.9
906128494,3,3,42,A,3.66
406291656,3,3,42,A,4
506279668,3,3,42,A,4
306246886,3,3,42,A,4
206249512,3,3,42,A,3.9
306158974,3,3,42,A,0
6160073,3,3,42,A,4
306150181,3,3,42,A,4
105371518,3,3,42,A,3.7
206243732,3,3,42,A,4
406242519,3,3,42,A,4
806176777,3,3,42,A,3.76
506163837,3,3,42,A,4
6212232,3,3,42,A,4
406273247,3,3,42,A,3.76
706133948,3,3,42,A,3.87
706261605,3,3,42,A,3.92
605870514,3,3,42,A,4
406132851,3,3,42,A,3.85
906130581,3,3,42,A,3.92
506235820,3,3,42,A,4
806211648,3,3,42,A,2.95
106264584,3,3,42,A,3.96
5834114,3,3,42,A,3.88
6186600,3,3,42,A,3.9
6247854,3,3,42,A,3.86
506143707,3,3,43,A,3.93
806165217,3,3,43,A,3.92
805762293,3,3,43,A,3.71
6220307,3,3,43,A,4
706209844,3,3,43,A,4
806273924,3,3,43,A,4
106257036,3,3,43,A,4
406219401,3,3,43,A,3.89
506025228,3,3,43,A,3.84
6029182,3,3,43,A,3.93
806214595,3,3,43,A,4
606156247,3,3,43,A,3.88
306150633,3,3,43,A,3.66
306139179,3,3,43,A,4
406273662,3,3,43,A,4
306264837,3,3,43,A,0
706275320,3,3,43,A,3.94
605733471,3,3,43,A,3.77
505960765,3,3,43,A,3.89
306192553,3,3,43,A,4
106166159,3,3,43,A,3.84
206251717,3,3,43,A,3.47
706200589,3,3,43,A,3.73
406234661,3,3,43,A,4
706218481,3,3,43,A,3.76
806129757,3,3,43,A,3.92
506244787,3,3,43,A,4
406220758,3,3,43,A,3.69
106277628,3,3,43,A,3.96
306170513,3,3,43,A,0
706267419,3,3,43,A,3.69
306226746,3,3,43,A,4
306271692,3,3,44,A,3.46
506012966,3,3,44,A,4
806164350,3,3,44,A,3.91
606144909,3,3,44,A,3.9
406143487,3,3,44,A,4
306251788,3,3,44,A,3.98
506090285,3,3,44,A,3.66
406265228,3,3,44,A,4
506057813,3,3,44,A,4
806134607,3,3,44,A,4
