"name","address","city","state","zip"
"NORTHRIDGE (TAMPA AVE.)","8830 TAMPA AVE.","NORTHRIDGE","CA",91324
"LEBEC (TEJON RANCH)","5926 DENNIS MCCARTHY","LEBEC","CA",93243
"MARANA","8180 CORTARO ROAD","MARANA","AZ",85743
"SACRAMENTO (DEL PASO)","2900 DEL PASO ROAD","NATOMAS","CA",95834
"YUBA CITY","1375 SUNSWEET BLVD.","YUBA CITY","CA",95993
"WASHINGTON CITY","832 W. TELEGRAPH ST.","WASHINGTON CITY","UT",84780
"YUMA","1940 E. 16TH STREET","YUMA","AZ",85365
"LAS VEGAS (BLUE DIAMOND RD.)","3882 BLUE DIAMOND RD.","LAS VEGAS","NV",89139
"MENIFEE","30296 HAUN ROAD","MENIFEE","CA",92584
"DRAPER","12191 S. STATE ST.","DRAPER","UT",84020
"CHULA VISTA","1725 EASTLAKE PKWY","CHULA VISTA","CA",91915
"FOLSOM","225 PLACERVILLE RD.","FOLSOM","CA",95630
"PHOENIX (CAREFREE HWY)","34850 N. VALLEY PARKWAY","PHOENIX","AZ",85086
"MESA (SIGNAL BUTTE)","1859 S. SIGNAL BUTTE RD.","MESA","AZ",85209
"SACRAMENTO (MADISON)","4600 MADISON AVE.","SACRAMENTO","CA",95841
"CHANDLER (RAY RD.)","7050 W. RAY ROAD","CHANDLER","AZ",85226
"TUCSON (BROADWAY)","3711 BROADWAY BLVD.","TUCSON","AZ",85716
"MILLBRAE","11 ROLLINS RD.","MILLBRAE","CA",94030
"CLOVIS","382 N. CLOVIS AVE","CLOVIS","CA",93612
"MILPITAS","50 RANCH DRIVE","MILPITAS","CA",95035
"CHANDLER (CHANDLER & PRICE)","2790 W. CHANDLER BLV","CHANDLER","AZ",85224
"GILBERT","2449 S. MARKET ST.","GILBERT","AZ",85296
"VISTA","2010 HACIENDA DR","VISTA","CA",92081
"KEARNY MESA","4375 KEARNY MESA RD","SAN DIEGO","CA",92111
"SPARKS","280 PYRAMID WAY","SPARKS","NV",89431
"MESA","1650 S. STAPLEY RD.","MESA","AZ",85204
